fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,latitude,longitude,geometry,created_at,updated_at,created_by,updated_by,s_label
51feb381-1890-4466-8a85-662de674a707,78622cb4-c3bd-426c-868b-dad73e9c1ea4,78622cb4-c3bd-426c-868b-dad73e9c1ea4,1,42.0565723,-87.6738922,POINT (-87.6738922 42.0565723),2021-07-01 17:34:12 UTC,2021-07-01 17:34:47 UTC,robyn.tanny@northwestern.edu,robyn.tanny@northwestern.edu,S-14489
ee3701bd-355a-4240-9db5-d3d246aba644,78622cb4-c3bd-426c-868b-dad73e9c1ea4,78622cb4-c3bd-426c-868b-dad73e9c1ea4,1,42.0565725,-87.6738694,POINT (-87.6738694 42.0565725),2021-07-01 17:34:50 UTC,2021-07-01 17:35:13 UTC,robyn.tanny@northwestern.edu,robyn.tanny@northwestern.edu,S-14488
c62aad7d-202c-4c5e-9dba-947de6009c9a,78622cb4-c3bd-426c-868b-dad73e9c1ea4,78622cb4-c3bd-426c-868b-dad73e9c1ea4,1,42.056579,-87.6738612,POINT (-87.6738612 42.056579),2021-07-01 17:35:16 UTC,2021-07-01 17:35:38 UTC,robyn.tanny@northwestern.edu,robyn.tanny@northwestern.edu,S-14487
e1801206-1200-44d6-8aa5-42eec4b56f3b,78622cb4-c3bd-426c-868b-dad73e9c1ea4,78622cb4-c3bd-426c-868b-dad73e9c1ea4,1,42.0565777,-87.673879,POINT (-87.673879 42.0565777),2021-07-01 17:35:42 UTC,2021-07-01 17:35:56 UTC,robyn.tanny@northwestern.edu,robyn.tanny@northwestern.edu,S-14485
c9b54289-2ea1-4846-af7b-e671e461a5b9,cfec5157-5e30-4ade-83e2-38e845eba3a1,cfec5157-5e30-4ade-83e2-38e845eba3a1,1,42.0565751,-87.6739047,POINT (-87.6739047 42.0565751),2021-07-01 17:39:12 UTC,2021-07-01 17:39:22 UTC,robyn.tanny@northwestern.edu,robyn.tanny@northwestern.edu,S-14490
ab6147a1-a009-42e3-bbb2-0b758c625c9b,7ee86f79-ce65-4a34-aa64-54945d44b6a3,7ee86f79-ce65-4a34-aa64-54945d44b6a3,1,42.0565746,-87.6738986,POINT (-87.6738986 42.0565746),2021-07-01 17:42:21 UTC,2021-07-01 17:42:30 UTC,robyn.tanny@northwestern.edu,robyn.tanny@northwestern.edu,S-14491
3ea882f3-e0ef-4300-aed2-e0f11171dd07,cdc1b152-f631-4d0c-8d48-6d3a2741aa26,cdc1b152-f631-4d0c-8d48-6d3a2741aa26,1,42.0565727,-87.6738919,POINT (-87.6738919 42.0565727),2021-07-01 17:53:40 UTC,2021-07-01 17:53:48 UTC,robyn.tanny@northwestern.edu,robyn.tanny@northwestern.edu,S-14514
f04b2f17-5292-4f66-9ada-7cdf60944296,cdc1b152-f631-4d0c-8d48-6d3a2741aa26,cdc1b152-f631-4d0c-8d48-6d3a2741aa26,1,42.056571,-87.6738728,POINT (-87.6738728 42.056571),2021-07-01 17:53:50 UTC,2021-07-01 17:54:00 UTC,robyn.tanny@northwestern.edu,robyn.tanny@northwestern.edu,S-14444
60eb8fd7-8de4-49da-9599-9e99bfc2dd81,cdc1b152-f631-4d0c-8d48-6d3a2741aa26,cdc1b152-f631-4d0c-8d48-6d3a2741aa26,1,42.0565718,-87.6738759,POINT (-87.6738759 42.0565718),2021-07-01 17:54:01 UTC,2021-07-01 17:54:10 UTC,robyn.tanny@northwestern.edu,robyn.tanny@northwestern.edu,S-14425
eff6b089-93f7-4783-a420-38aacc822869,cdc1b152-f631-4d0c-8d48-6d3a2741aa26,cdc1b152-f631-4d0c-8d48-6d3a2741aa26,1,42.0565731,-87.6738839,POINT (-87.6738839 42.0565731),2021-07-01 17:54:14 UTC,2021-07-01 17:54:33 UTC,robyn.tanny@northwestern.edu,robyn.tanny@northwestern.edu,S-14443
